event,sex,rank,time_s,wind,name,country,birthdate,place,location,date,age
100m,male,760,9.98,0.3,Nesta Carter,JAM,1985-11-10,3rA,Glasgow,2014-07-11,10470
100m,male,760,9.98,-0.6,Usain Bolt,JAM,1986-08-21,1,Warszawa,2014-08-23,10229
100m,male,760,9.98,1.8,Nesta Carter,JAM,1985-11-10,3rA,Kingston,2015-05-09,10772
100m,male,760,9.98,0.9,Jimmy Vicaut,FRA,1992-02-27,2rA,Roma,2015-06-04,8498
100m,male,760,9.98,0.9,Mike Rodgers,USA,1985-04-24,3rA,Roma,2015-06-04,10998
100m,male,760,9.98,1.7,Andre De Grasse,CAN,1994-11-10,2h1,Eugene,2015-06-10,7517
100m,male,760,9.98,1.8,Kim Collins,SKN,1976-04-05,1,Basseterre,2015-06-13,14313
100m,male,760,9.98,1,Asafa Powell,JAM,1982-11-23,1h1,Kingston,2015-06-25,11902
100m,male,760,9.98,0.9,Nesta Carter,JAM,1985-11-10,4,Kingston,2015-06-26,10820
100m,male,760,9.98,-0.8,Jimmy Vicaut,FRA,1992-02-27,5,London,2015-07-24,8548
100m,male,760,9.98,-0.4,Justin Gatlin,USA,1982-02-10,1,Bruxelles,2015-09-11,12266
100m,male,760,9.98,-0.4,Femi Ogunode,QAT,1991-01-31,2,Bruxelles,2015-09-11,8989
100m,male,760,9.98,1.5,Wayde van Niekerk,RSA,1992-07-15,1,Bloemfontein,2016-03-12,8641
100m,male,760,9.98,-0.4,Usain Bolt,JAM,1986-08-21,1,Ostrava,2016-05-20,10865
100m,male,760,9.98,1,Asafa Powell,JAM,1982-11-23,4rA,Kingston,2016-06-11,12254
100m,male,760,9.98,1.6,Marvin Bracy,USA,1993-12-15,3,Eugene,2016-07-03,8236
100m,male,760,9.98,0.2,Akani Simbine,RSA,1993-09-21,3s1,Rio de Janeiro,2016-08-14,8363
100m,male,760,9.98,1.1,Akani Simbine,RSA,1993-09-21,1h3,Pretoria,2017-03-18,8579
100m,male,760,9.98,2,Odean Skeen,JAM,1994-08-28,1h4,Auburn,2017-04-22,8273
100m,male,760,9.98,0.4,Ronnie Baker,USA,1993-10-15,2rA,Kingston,2017-05-20,8618
100m,male,760,9.98,-0.2,Christian Coleman,USA,1996-03-06,1q1,Lexington,2017-05-26,7751
100m,male,760,9.98,-0.7,Christian Coleman,USA,1996-03-06,2,Sacramento,2017-06-23,7779
100m,male,760,9.98,0.9,Justin Gatlin,USA,1982-02-10,1,Székesfehérvár,2017-07-04,12928
100m,male,760,9.98,0.2,Ben Youssef Meité,CIV,1986-11-11,2,Lausanne,2017-07-06,11195
100m,male,760,9.98,-0.3,Chijindu Ujah,GBR,1994-03-05,1,Rabat,2017-07-16,8534
100m,male,760,9.98,0.7,Isiah Young,USA,1990-01-05,2,Monaco,2017-07-21,10059
100m,male,760,9.98,0.4,Usain Bolt,JAM,1986-08-21,2s3,London,2017-08-05,11307
100m,male,760,9.98,1.8,Yoshihide Kiryu,JPN,1995-12-15,1,Fukui,2017-09-09,7939
100m,male,760,9.98,1.9,Andre Ewers,USA,1995-06-07,1s3,Tampa,2018-05-25,8388
100m,male,760,9.98,-0.5,Akani Simbine,RSA,1993-09-21,1h1,Madrid,2018-06-22,9040
100m,male,760,9.98,0.2,Xie Zhenye,CHN,1993-08-17,1h1,La Chaux-de-Fonds,2018-07-01,9084
100m,male,760,9.98,0.1,Mike Rodgers,USA,1985-04-24,5,London,2018-07-21,12141
100m,male,760,9.98,0.1,Tyquendo Tracey,JAM,1993-06-10,6,London,2018-07-21,9172
100m,male,760,9.98,-0.5,Noah Lyles,USA,1997-07-18,3,Birmingham,2018-08-18,7701
100m,male,760,9.98,1,Roberto Skyers,CUB,1991-11-12,1,Camagüey,2019-02-22,9964
100m,male,760,9.98,0.3,Yohan Blake,JAM,1989-12-26,1rA,Clermont,2019-05-05,10722
100m,male,760,9.98,1.3,Mario Burke,BAR,1997-03-18,1h2,Austin,2019-06-05,8114
100m,male,760,9.98,0.5,Yuki Koike,JPN,1995-05-13,4,London,2019-07-20,8834
100m,male,760,9.98,1.1,Andre De Grasse,CAN,1994-11-10,1h1,Montréal,2019-07-26,9024
100m,male,760,9.98,-0.4,Noah Lyles,USA,1997-07-18,1,Zürich,2019-08-29,8077
100m,male,760,9.98,0.1,Christian Coleman,USA,1996-03-06,1h6,Ad-Dawhah,2019-09-27,8605
100m,male,862,9.99,1.3,Carl Lewis,USA,1961-07-01,1,Houston,1984-05-06,8345
100m,male,862,9.99,0.2,Carl Lewis,USA,1961-07-01,1,Los Angeles,1984-08-04,8435
100m,male,862,9.99,0.9,Carl Lewis,USA,1961-07-01,1,Zürich,1984-08-22,8453
100m,male,862,9.99,1.4,Carl Lewis,USA,1961-07-01,1q5,Seoul,1988-09-23,9946
100m,male,862,9.99,1.1,Calvin Smith,USA,1961-01-08,3,Seoul,1988-09-24,10121
100m,male,862,9.99,1.1,Dennis Mitchell,USA,1966-02-20,2s2,Tokyo,1991-08-25,9317
100m,male,862,9.99,1.1,Linford Christie,GBR,1960-04-02,3s2,Tokyo,1991-08-25,11467
100m,male,862,9.99,1.5,Andre Cason,USA,1969-01-20,1,Koblenz,1991-09-11,8269
100m,male,862,9.99,1,Daniel Effiong,NGR,1972-06-17,1s1,Odessa,1993-05-21,7643
100m,male,862,9.99,0.3,Dennis Mitchell,USA,1966-02-20,3,Stuttgart,1993-08-15,10038
100m,male,862,9.99,1.2,Davidson Ezinwa,NGR,1971-11-22,2r3,Lausanne,1994-07-06,8262
100m,male,862,9.99,1.2,Dennis Mitchell,USA,1966-02-20,3r3,Lausanne,1994-07-06,10363
100m,male,862,9.99,1.9,Jon Drummond,USA,1968-09-09,2,Oslo,1994-07-22,9447
100m,male,862,9.99,0.5,Jon Drummond,USA,1968-09-09,2,Durham,1994-08-13,9469
100m,male,862,9.99,1.5,Jon Drummond,USA,1968-09-09,1,Rieti,1994-08-28,9484
100m,male,862,9.99,0.9,Donovan Bailey,CAN,1967-12-16,1,Baton Rouge,1995-04-22,9989
100m,male,862,9.99,1,Frank Fredericks,NAM,1967-10-02,1,Villeneuve d'Ascq,1996-05-25,10463
100m,male,862,9.99,-0.3,Jon Drummond,USA,1968-09-09,1h1,Atlanta,1996-06-14,10140
100m,male,862,9.99,0.7,Dennis Mitchell,USA,1966-02-20,4,Atlanta,1996-07-27,11115
100m,male,862,9.99,0,Donovan Bailey,CAN,1967-12-16,1,Burnaby,1997-05-18,10746
100m,male,862,9.99,1.2,Tim Montgomery,USA,1975-01-28,1q3,Athínai,1997-08-02,8222
100m,male,862,9.99,0.5,Frank Fredericks,NAM,1967-10-02,1q6,Athínai,1997-08-02,10897
100m,male,862,9.99,-0.7,Maurice Greene,USA,1974-07-23,2rA,Zürich,1997-08-13,8422
100m,male,862,9.99,0.4,Tim Montgomery,USA,1975-01-28,1,Monaco,1997-08-16,8236
100m,male,862,9.99,-0.7,Donovan Bailey,CAN,1967-12-16,1,Köln,1997-08-24,10844
100m,male,862,9.99,0.3,Frank Fredericks,NAM,1967-10-02,1rA,Berlin,1997-08-26,10921
100m,male,862,9.99,-0.5,Maurice Greene,USA,1974-07-23,1,Sydney,1998-02-28,8621
100m,male,862,9.99,0,Ato Boldon,TTO,1973-12-30,2,Roma,1998-07-14,8962
100m,male,862,9.99,0.1,Ato Boldon,TTO,1973-12-30,3rA,Berlin,1998-09-01,9011
100m,male,862,9.99,1.1,Dwain Chambers,GBR,1978-04-05,2,Nürnberg,1999-06-13,7739
100m,male,862,9.99,-0.7,Maurice Greene,USA,1974-07-23,1,Zürich,1999-08-11,9150
100m,male,862,9.99,0,Leonard Myles-Mills,GHA,1973-05-09,1,Johannesburg,1999-09-15,9625
100m,male,862,9.99,0.4,Bernard Williams,USA,1978-01-19,2s1,Durham,2000-06-02,8170
100m,male,862,9.99,-0.3,Ato Boldon,TTO,1973-12-30,2,Sydney,2000-09-23,9764
100m,male,862,9.99,1.1,Ato Boldon,TTO,1973-12-30,2rA,Lausanne,2001-07-04,10048
100m,male,862,9.99,2,Bernard Williams,USA,1978-01-19,2,Oslo,2001-07-13,8576
100m,male,862,9.99,-0.2,Dwain Chambers,GBR,1978-04-05,4,Edmonton,2001-08-05,8523
100m,male,862,9.99,0.6,Shawn Crawford,USA,1978-01-14,1rA,Pretoria,2002-04-12,8854
100m,male,862,9.99,0.5,Brian Lewis,USA,1974-12-05,1,Cayenne,2002-05-04,10012
100m,male,862,9.99,0.7,Maurice Greene,USA,1974-07-23,1s2,Palo Alto,2002-06-21,10195
100m,male,862,9.99,0.4,Maurice Greene,USA,1974-07-23,1,Saint-Denis,2002-07-05,10209
100m,male,862,9.99,0.1,Bernard Williams,USA,1978-01-19,2,Monaco,2002-07-19,8947
100m,male,862,9.99,1.5,Mickey Grimes,USA,1976-10-10,1rB,Zürich,2003-08-15,9805
100m,male,862,9.99,1.3,Kim Collins,SKN,1976-04-05,3rA,Zürich,2003-08-15,9993
100m,male,862,9.99,1.8,Asafa Powell,JAM,1982-11-23,1,Spanish Town,2004-06-12,7872
100m,male,862,9.99,0,Coby Miller,USA,1976-10-19,4,Sacramento,2004-07-11,10127
100m,male,862,9.99,-0.2,Asafa Powell,JAM,1982-11-23,2q5,Athínai,2004-08-21,7942
100m,male,862,9.99,0.2,Shawn Crawford,USA,1978-01-14,2,Bruxelles,2004-09-03,9729
100m,male,862,9.99,1.6,Abdul Aziz Zakari,GHA,1976-09-02,2,Athínai,2005-06-14,10512
100m,male,862,9.99,1,Shawn Crawford,USA,1978-01-14,1s1,Carson,2005-06-25,10024
100m,male,862,9.99,1,Darrel Brown,TTO,1984-10-11,2,Port of Spain,2005-06-25,7562
100m,male,862,9.99,1.8,Ronald Pognon,FRA,1982-11-16,1rA,Lausanne,2005-07-05,8267
100m,male,862,9.99,-1,Justin Gatlin,USA,1982-02-10,1s2,Helsinki,2005-08-07,8579
100m,male,862,9.99,0,Justin Gatlin,USA,1982-02-10,1,Bruxelles,2005-08-26,8598
100m,male,862,9.99,0.5,Abdul Aziz Zakari,GHA,1976-09-02,1,Rieti,2005-08-28,10587
100m,male,862,9.99,1.3,Francis Obikwelu,POR,1978-11-22,1,Göteborg,2006-08-08,10121
100m,male,862,9.99,1,Marcus Brunson,USA,1978-04-24,4rA,Zürich,2006-08-18,10343
100m,male,862,9.99,0.3,Asafa Powell,JAM,1982-11-23,1,Bruxelles,2006-08-25,8676
100m,male,862,9.99,0.9,Samuel Francis,QAT,1987-03-27,1,Amman,2007-07-26,7426
100m,male,862,9.99,1.6,Mark Jelks,USA,1984-04-10,3q2,Eugene,2008-06-28,8845
100m,male,862,9.99,-0.1,Churandy Martina,AHO,1984-07-03,1q1,Beijing,2008-08-15,8809
100m,male,862,9.99,0,Richard Thompson,TTO,1985-06-07,1q2,Beijing,2008-08-15,8470
100m,male,862,9.99,-0.5,Walter Dix,USA,1986-01-31,2rA,Zürich,2008-08-29,8246
100m,male,862,9.99,-0.3,Daniel Bailey,ANT,1986-09-09,1r1,Belém,2009-05-24,8293
100m,male,862,9.99,0.4,Lerone Clarke,JAM,1981-10-02,1rB,Zürich,2009-08-28,10192
100m,male,862,9.99,-1.5,Asafa Powell,JAM,1982-11-23,1,Rieti,2009-09-06,9784
100m,male,862,9.99,1.1,Dwain Chambers,GBR,1978-04-05,1rA,Bergen,2010-06-19,11763
100m,male,862,9.99,1.1,Mario Forsythe,JAM,1985-10-30,3h2,Rieti,2010-08-29,9069
100m,male,862,9.99,2,Travis Padgett,USA,1986-12-13,2,Clermont,2011-05-21,8925
100m,male,862,9.99,1.3,Mike Rodgers,USA,1985-04-24,3,Eugene,2011-06-24,9557
100m,male,862,9.99,1,Nesta Carter,JAM,1985-11-10,4rA,Lausanne,2011-06-30,9363
100m,male,862,9.99,1,Jaysuma Saidy Ndure,NOR,1984-01-01,5rA,Lausanne,2011-06-30,10042
100m,male,862,9.99,0.4,Lerone Clarke,JAM,1981-10-02,3,Ad-Dawhah,2012-05-11,11179
100m,male,862,9.99,0.7,Mike Rodgers,USA,1985-04-24,3rA,New York City,2012-06-09,9908
100m,male,862,9.99,0,Tyson Gay,USA,1982-08-09,1,Saint-Denis,2012-07-06,10924
100m,male,862,9.99,1.2,Mike Rodgers,USA,1985-04-24,2rA,Ad-Dawhah,2013-05-10,10243
100m,male,862,9.99,1.2,Nesta Carter,JAM,1985-11-10,3rA,Ad-Dawhah,2013-05-10,10043
100m,male,862,9.99,0.3,Isiah Young,USA,1990-01-05,1h3,Greensboro,2013-05-23,8539
100m,male,862,9.99,-1.2,Nickel Ashmeade,JAM,1990-04-07,3,Kingston,2013-06-21,8476
100m,male,862,9.99,0.8,Nesta Carter,JAM,1985-11-10,1,Birmingham,2013-06-30,10094
100m,male,862,9.99,0.2,Kim Collins,SKN,1976-04-05,1,Budapest,2013-07-10,13610
100m,male,862,9.99,-0.4,Jimmy Vicaut,FRA,1992-02-27,3,Monaco,2013-07-19,7813
100m,male,862,9.99,0.2,Nesta Carter,JAM,1985-11-10,3rA,London,2013-07-26,10120
100m,male,862,9.99,-0.3,Justin Gatlin,USA,1982-02-10,1h3,Moskva,2013-08-10,11504
100m,male,862,9.99,0.1,Kemar Bailey-Cole,JAM,1992-01-10,2rA,Zagreb,2013-09-03,7907
100m,male,862,9.99,0.7,Walter Dix,USA,1986-01-31,1,Rieti,2013-09-08,10082
100m,male,862,9.99,1.6,Bryce Robinson,USA,1993-11-13,1,Storrs,2015-05-17,7855
100m,male,862,9.99,0.2,Mike Rodgers,USA,1985-04-24,2,Beijing,2015-05-20,10983
100m,male,862,9.99,1.5,Su Bingtian,CHN,1989-08-29,3,Eugene,2015-05-30,9405
100m,male,862,9.99,1.5,Kim Collins,SKN,1976-04-05,4,Eugene,2015-05-30,14299
100m,male,862,9.99,1.7,Beejay Lee,USA,1993-03-05,3h2,Eugene,2015-06-25,8147
100m,male,862,9.99,-0.2,Akani Simbine,RSA,1993-09-21,1rA,Velenje,2015-07-01,7953
100m,male,862,9.99,1.3,Mike Rodgers,USA,1985-04-24,3,Saint-Denis,2015-07-04,11028
100m,male,862,9.99,-0.3,Femi Ogunode,QAT,1991-01-31,1h3,Beijing,2015-08-22,8969
100m,male,862,9.99,0.3,Andre De Grasse,CAN,1994-11-10,2h5,Beijing,2015-08-22,7590
100m,male,862,9.99,-0.4,Trayvon Bromell,USA,1995-07-10,3s1,Beijing,2015-08-23,7349
100m,male,862,9.99,-0.4,Jimmy Vicaut,FRA,1992-02-27,3s3,Beijing,2015-08-23,8578
100m,male,862,9.99,-0.4,Su Bingtian,CHN,1989-08-29,4s1,Beijing,2015-08-23,9490
100m,male,862,9.99,-0.4,Jimmy Vicaut,FRA,1992-02-27,3,Bruxelles,2015-09-11,8597
100m,male,862,9.99,2,Omar McLeod,JAM,1994-04-25,1r3,Fayetteville,2016-04-23,8034
100m,male,862,9.99,1,Jimmy Vicaut,FRA,1992-02-27,3rA,Roma,2016-06-02,8862
100m,male,862,9.99,1.1,Ben Youssef Meité,CIV,1986-11-11,1,Praha,2016-06-06,10800
100m,male,862,9.99,1.7,Rondel Sorrillo,TTO,1986-01-21,2r2,Port of Spain,2016-06-25,11113
100m,male,862,9.99,-0.1,Andre De Grasse,CAN,1994-11-10,1,Edmonton,2016-07-09,7912
100m,male,862,9.99,0.4,Akani Simbine,RSA,1993-09-21,2,Zürich,2016-09-01,8381
100m,male,862,9.99,0.4,Ben Youssef Meité,CIV,1986-11-11,3,Zürich,2016-09-01,10887
100m,male,862,9.99,0.1,Ronnie Baker,USA,1993-10-15,1r1,Torrance,2017-04-15,8583
100m,male,862,9.99,-1.2,Akani Simbine,RSA,1993-09-21,1,Ad-Dawhah,2017-05-05,8627
100m,male,862,9.99,0.6,Nethaneel Mitchell-Blake,GBR,1994-04-02,2,Columbia,2017-05-13,8442
100m,male,862,9.99,0.8,Julian Forte,JAM,1993-07-01,1s2,Kingston,2017-06-23,8758
100m,male,862,9.99,-0.1,Ben Youssef Meité,CIV,1986-11-11,1,Paris,2017-07-01,11190
100m,male,862,9.99,0.9,Akani Simbine,RSA,1993-09-21,2,Székesfehérvár,2017-07-04,8687
100m,male,862,9.99,0.2,Akani Simbine,RSA,1993-09-21,3,Lausanne,2017-07-06,8689
100m,male,862,9.99,0,Julian Forte,JAM,1993-07-01,1h3,London,2017-08-04,8800
100m,male,862,9.99,-0.8,Yohan Blake,JAM,1989-12-26,4,London,2017-08-05,10084
100m,male,862,9.99,1.1,Kendal Williams,USA,1995-09-23,1,Knoxville,2018-05-13,8268
100m,male,862,9.99,0.2,Filippo Tortu,ITA,1998-06-15,2,Madrid,2018-06-22,7312
100m,male,862,9.99,0.4,Jak Ali Harvey,TUR,1989-04-05,2rA,Bellinzona,2018-07-18,10696
100m,male,862,9.99,0.8,Yohan Blake,JAM,1989-12-26,2hA,London,2018-07-21,10434
100m,male,862,9.99,-0.5,Yohan Blake,JAM,1989-12-26,4,Birmingham,2018-08-18,10462
100m,male,862,9.99,-0.3,Reece Prescod,GBR,1996-02-29,4,Bruxelles,2018-08-31,8219
100m,male,862,9.99,1.8,Abdul Hakim Sani Brown,JPN,1999-03-06,1,Fayetteville,2019-05-11,7371
100m,male,862,9.99,0.3,Divine Oduduru,NGR,1996-05-14,1,Norman,2019-05-12,8398
100m,male,862,9.99,1.8,Isiah Young,USA,1990-01-05,1r1,Monteverde,2019-07-06,10774
100m,male,862,9.99,0.5,Andre De Grasse,CAN,1994-11-10,5,London,2019-07-20,9018
100m,male,862,9.99,-1,Christian Coleman,USA,1996-03-06,1,Des Moines,2019-07-26,8542
100m,male,862,9.99,1.4,Akani Simbine,RSA,1993-09-21,2,Berlin,2019-09-01,9476
100m,male,989,10,0,Carl Lewis,USA,1961-07-01,1r3,Dallas,1981-05-16,7259
100m,male,989,10,1.9,Carl Lewis,USA,1961-07-01,1r1,Modesto,1982-05-15,7623
100m,male,989,10,2,Marian Woronin,POL,1956-08-13,1,Warszawa,1984-06-09,10162
100m,male,989,10,1,Chidi Imoh,NGR,1963-08-27,1,Berlin,1986-08-15,8389
100m,male,989,10,0.5,Leroy Burrell,USA,1967-02-21,1,Bruxelles,1990-08-10,8571
100m,male,989,10,1.9,Dennis Mitchell,USA,1966-02-20,3,New York City,1991-06-14,9245
100m,male,989,10,-1.3,Linford Christie,GBR,1960-04-02,2s1,Barcelona,1992-08-01,11809
100m,male,989,10,0.1,Linford Christie,GBR,1960-04-02,1q3,Stuttgart,1993-08-14,12187
100m,male,989,10,1,Michael Marsh,USA,1967-08-04,1,Walnut,1994-04-17,9753
100m,male,989,10,1,Dennis Mitchell,USA,1966-02-20,1r2,Berlin,1994-08-30,10418
100m,male,989,10,0.6,Linford Christie,GBR,1960-04-02,1,Tokyo,1995-09-15,12949
100m,male,989,10,1.6,Vincent Henderson,USA,1972-10-20,1,Fayetteville,1996-04-13,8576
100m,male,989,10,0.6,Jon Drummond,USA,1968-09-09,1q1,Atlanta,1996-06-14,10140
100m,male,989,10,-0.1,Michael Marsh,USA,1967-08-04,2s2,Atlanta,1996-06-15,10543
100m,male,989,10,1.1,Michael Marsh,USA,1967-08-04,2,Atlanta,1996-06-15,10543
100m,male,989,10,-0.4,Jon Drummond,USA,1968-09-09,4r1,Lausanne,1996-07-03,10159
100m,male,989,10,-0.5,Donovan Bailey,CAN,1967-12-16,2s1,Atlanta,1996-07-27,10451
100m,male,989,10,-0.6,Dennis Mitchell,USA,1966-02-20,2s2,Atlanta,1996-07-27,11115
100m,male,989,10,0.7,Michael Marsh,USA,1967-08-04,5,Atlanta,1996-07-27,10585
100m,male,989,10,0.9,Brian Lewis,USA,1974-12-05,1h2,Indianapolis,1997-06-12,8225
100m,male,989,10,-0.8,Ato Boldon,TTO,1973-12-30,1s1,Athínai,1997-08-03,8617
100m,male,989,10,-0.3,Ato Boldon,TTO,1973-12-30,1,Port of Spain,1998-05-08,8895
100m,male,989,10,1.6,Tim Montgomery,USA,1975-01-28,1h3,New Orleans,1998-06-19,8543
100m,male,989,10,0.7,Frank Fredericks,NAM,1967-10-02,1,Nice,1998-07-16,11245
100m,male,989,10,-1,Ato Boldon,TTO,1973-12-30,2,Uniondale,1998-07-21,8969
100m,male,989,10,-0.3,Jon Drummond,USA,1968-09-09,2rA,Lausanne,1998-08-25,10942
100m,male,989,10,-0.3,Obadele Thompson,BAR,1976-03-30,3rA,Lausanne,1998-08-25,8183
100m,male,989,10,-0.1,Obadele Thompson,BAR,1976-03-30,3,Kuala Lumpur,1998-09-17,8206
100m,male,989,10,1.9,Koji Ito,JPN,1970-01-29,1s2,Bangkok,1998-12-13,10545
100m,male,989,10,1.1,Eric Nkansah,GHA,1974-12-12,3,Nürnberg,1999-06-13,8949
100m,male,989,10,0.4,Frank Fredericks,NAM,1967-10-02,4,Lausanne,1999-07-02,11596
100m,male,989,10,1,Eric Nkansah,GHA,1974-12-12,2,Luzern,1999-07-05,8971
100m,male,989,10,0.2,Obadele Thompson,BAR,1976-03-30,4,Sevilla,1999-08-22,8545
100m,male,989,10,1.9,Coby Miller,USA,1976-10-19,1,Eugene,2000-06-24,8649
100m,male,989,10,0.7,Francis Obikwelu,NGR,1978-11-22,2rA,Roma,2000-06-30,7891
100m,male,989,10,0.7,Ato Boldon,TTO,1973-12-30,3rA,Roma,2000-06-30,9679
100m,male,989,10,0.2,Ato Boldon,TTO,1973-12-30,1rA,Oslo,2000-07-28,9707
100m,male,989,10,-1,Ato Boldon,TTO,1973-12-30,3,Zürich,2000-08-11,9721
100m,male,989,10,1.1,Dwain Chambers,GBR,1978-04-05,3rA,Lausanne,2001-07-04,8491
100m,male,989,10,0.9,Bernard Williams,USA,1978-01-19,2rA,Roma,2002-07-12,8940
100m,male,989,10,-1.3,Coby Miller,USA,1976-10-19,1,Zürich,2002-08-16,9432
100m,male,989,10,1.3,Frank Fredericks,NAM,1967-10-02,1,Durban,2003-04-11,12975
100m,male,989,10,0.5,Kim Collins,SKN,1976-04-05,1,Eugene,2003-05-24,9910
100m,male,989,10,0,Deji Aliu,NGR,1975-11-22,1,Tríkala,2003-06-24,10076
100m,male,989,10,1.5,Darvis Patton,USA,1977-12-04,2rB,Zürich,2003-08-15,9385
100m,male,989,10,0.4,Asafa Powell,JAM,1982-11-23,1rA,Lausanne,2004-07-06,7896
100m,male,989,10,-0.7,Shawn Crawford,USA,1978-01-14,1q3,Sacramento,2004-07-10,9674
100m,male,989,10,1.1,Abdul Aziz Zakari,GHA,1976-09-02,1rA,Stockholm,2004-07-27,10190
100m,male,989,10,0.6,Kim Collins,SKN,1976-04-05,6,Athínai,2004-08-22,10366
100m,male,989,10,1,Justin Gatlin,USA,1982-02-10,2s1,Carson,2005-06-25,8536
100m,male,989,10,1,Kim Collins,SKN,1976-04-05,3,London,2005-07-22,10700
100m,male,989,10,-1,Abdul Aziz Zakari,GHA,1976-09-02,2s2,Helsinki,2005-08-07,10566
100m,male,989,10,0.5,Dwight Thomas,JAM,1980-09-23,1,Linz,2005-08-23,9100
100m,male,989,10,-0.6,Marc Burns,TTO,1983-01-07,1,Monaco,2005-09-10,8282
100m,male,989,10,1,Travis Padgett,USA,1986-12-13,1,Greensboro,2006-05-27,7105
100m,male,989,10,-0.1,Derrick Atkins,BAH,1984-01-05,1,Saint-Denis,2007-07-06,8583
100m,male,989,10,0.1,Tyson Gay,USA,1982-08-09,1s2,Osaka,2007-08-26,9148
100m,male,989,10,1,Richard Thompson,TTO,1985-06-07,1r2,Austin,2008-04-05,8338
100m,male,989,10,0.8,Churandy Martina,AHO,1984-07-03,1r3,El Paso,2008-04-12,8684
100m,male,989,10,1.6,Xavier Carter,USA,1985-12-08,3q3,Eugene,2008-06-28,8238
100m,male,989,10,1.6,Dwain Chambers,GBR,1978-04-05,1,Birmingham,2008-07-12,11056
100m,male,989,10,-0.5,Michael Frater,JAM,1982-10-06,3,London,2008-07-25,9424
100m,male,989,10,-1.1,Walter Dix,USA,1986-01-31,1r1,Tallahassee,2009-04-11,8471
100m,male,989,10,1.4,Travis Padgett,USA,1986-12-13,1,Ad-Dawhah,2009-05-08,8182
100m,male,989,10,1.4,Trindon Holliday,USA,1986-04-27,1h1,Fayetteville,2009-06-10,8445
100m,male,989,10,-0.9,Usain Bolt,JAM,1986-08-21,1,Toronto,2009-06-11,8330
100m,male,989,10,0.3,Trindon Holliday,USA,1986-04-27,1,Fayetteville,2009-06-12,8447
100m,male,989,10,0.9,Dwain Chambers,GBR,1978-04-05,6,Berlin,2009-08-16,11456
100m,male,989,10,0.9,Marc Burns,TTO,1983-01-07,7,Berlin,2009-08-16,9718
100m,male,989,10,-0.4,Tyson Gay,USA,1982-08-09,2,Bruxelles,2009-09-04,9888
100m,male,989,10,-0.2,Darvis Patton,USA,1977-12-04,3,Thessaloníki,2009-09-12,11605
100m,male,989,10,-0.6,Asafa Powell,JAM,1982-11-23,2,Daegu,2009-09-25,9803
100m,male,989,10,1.4,Rae Edwards,USA,1981-05-07,1rB,New York City,2010-06-12,10628
100m,male,989,10,-0.1,Yohan Blake,JAM,1989-12-26,1=,Reims,2010-06-30,7491
100m,male,989,10,-0.1,Daniel Bailey,ANT,1986-09-09,1=,Reims,2010-06-30,8695
100m,male,989,10,-0.3,Daniel Bailey,ANT,1986-09-09,4,Saint-Denis,2010-07-16,8711
100m,male,989,10,0.9,Mike Rodgers,USA,1985-04-24,6,Rieti,2010-08-29,9258
100m,male,989,10,0.9,Jaysuma Saidy Ndure,NOR,1984-01-01,7,Rieti,2010-08-29,9737
100m,male,989,10,0.3,Walter Dix,USA,1986-01-31,1,Daegu,2011-05-12,9232
100m,male,989,10,0.6,Christophe Lemaitre,FRA,1990-06-11,3rA,Roma,2011-05-26,7654
100m,male,989,10,0.9,Daniel Bailey,ANT,1986-09-09,3,Montreuil-sous-Bois,2011-06-07,9037
100m,male,989,10,1.3,Maurice Mitchell,USA,1989-02-22,3,Des Moines,2011-06-10,8143
100m,male,989,10,0.4,Kim Collins,SKN,1976-04-05,1s2,Guadalajara,2011-10-24,12985
100m,male,989,10,1.8,Michael Frater,JAM,1982-10-06,2rA,Kingston,2012-05-05,10804
100m,male,989,10,0.4,Mike Rodgers,USA,1985-04-24,4,Ad-Dawhah,2012-05-11,9879
100m,male,989,10,-1.5,Tyson Gay,USA,1982-08-09,1rB,New York City,2012-06-09,10897
100m,male,989,10,1.6,Tyson Gay,USA,1982-08-09,1h4,Eugene,2012-06-23,10911
100m,male,989,10,1.4,Mike Rodgers,USA,1985-04-24,1s1,Eugene,2012-06-24,9923
100m,male,989,10,0.8,Yohan Blake,JAM,1989-12-26,1h2,Kingston,2012-06-28,8220
100m,male,989,10,1.1,Kemar Bailey-Cole,JAM,1992-01-10,5,Kingston,2012-06-29,7476
100m,male,989,10,1.6,Michael Frater,JAM,1982-10-06,2rA,Luzern,2012-07-17,10877
100m,male,989,10,1.6,Marc Burns,TTO,1983-01-07,3rA,Luzern,2012-07-17,10784
100m,male,989,10,1.3,Yohan Blake,JAM,1989-12-26,1h6,London,2012-08-04,8257
100m,male,989,10,-0.1,Ryan Bailey,USA,1989-04-13,3,Lausanne,2012-08-23,8533
100m,male,989,10,0.1,Kemar Bailey-Cole,JAM,1992-01-10,1rA,Berlin,2012-09-02,7541
100m,male,989,10,0.5,Usain Bolt,JAM,1986-08-21,1h1,Kingston,2013-06-20,9800
100m,male,989,10,0.4,Christophe Lemaitre,FRA,1990-06-11,4s2,Moskva,2013-08-11,8462
100m,male,989,10,0.4,Zhang Peimeng,CHN,1987-03-13,5s2,Moskva,2013-08-11,9648
100m,male,989,10,-0.3,Mike Rodgers,USA,1985-04-24,5,Zürich,2013-08-29,10354
100m,male,989,10,1.7,Keston Bledman,TTO,1988-03-08,2rA,Port of Spain,2014-06-21,9601
